timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,adaptive_shrink_rate,heat_cache_demotion_threshold,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI
2025-11-09T11:41:40,A_B_C_FULL,21,4001,294,7.35,2988,74.68,38,1759,47,3229,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,311152279552,0,-458752,1,1000,4096,75,10,1,1
2025-11-09T11:41:40,A_B_C_FULL,28,4001,294,7.35,2988,74.68,39,1705,56,89621,851,752,88.37,4096,2,5,0.094737,1.217544,88.37,851,752,0,4096,324052516864,0,0,1,1000,4096,75,10,1,1
2025-11-09T11:41:47,A_BASELINE,3,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.522807,0,0,0,0,4096,212305969152,0,13041664,1,1000,4096,75,10,0,0
2025-11-09T11:41:55,A_B_CACHE,28,4001,15,0.37,3267,81.65,29,881,45,3051,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,239078408192,0,0,1,1000,4096,75,10,1,0
2025-11-09T11:42:03,A_B_C_FULL,23,4001,294,7.35,2988,74.68,40,2093,50,3784,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,339661094912,0,-262144,1,1000,4096,75,10,1,1
2025-11-09T11:42:03,A_B_C_FULL,11,4001,294,7.35,2988,74.68,38,1636,49,3640,851,752,88.37,4096,2,5,0.094737,1.182456,88.37,851,752,0,4096,316386377728,0,-3932160,1,1000,4096,75,10,1,1
2025-11-09T11:42:11,A_B_CACHE,1,4001,15,0.37,3267,81.65,30,944,43,2620,0,0,0,4096,2,0,0.101754,0.519298,0,0,0,0,4096,227934076928,0,-65536,1,1000,4096,75,10,1,0
2025-11-09T11:42:18,A_BASELINE,15,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.54386,0,0,0,0,4096,241698275328,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:42:26,A_B_CACHE,17,4001,15,0.37,3267,81.65,30,1025,41,2395,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,226508668928,0,-327680,1,1000,4096,75,10,1,0
2025-11-09T11:42:34,A_B_C_FULL,30,4001,294,7.35,2988,74.68,40,1961,50,3826,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,311031365632,0,0,1,1000,4096,75,10,1,1
